Districts	Total no. of holdings	Total area (ha)	No. of holdings reporting irrigation	Total area (ha) of irrigation	Number of holdings reporting irrigation by gravity	Total area (ha) of irrigation by gravity	Number of holdings reporting irrigation by pumping	Total area (ha) of irrigation by pumping	Number of holdings reporting irrigation by dam or reservoir	Total area (ha) of irrigation by dam or reservoir	Number of holdings reporting irrigation by tubewell or boring	Total area (ha) of irrigation by tubewell or boring	Number of holdings reporting irrigation by other types	Total area (ha) of irrigation by other types	Number of holdings reporting irrigation by mixed types	Total area (ha) of irrigation by mixed types
Rukum East	11845	4762.4	1329	135.8	283	38.7	105	9.7	0		0		949	87.4	0	
Rolpa	46842	23640.7	12913	2536.7	9847	1958.3	881	192.7	458	94.6	0		1700	236.6	398	54.5
Pyuthan	50717	22076.1	23853	5074.7	21222	4459.9	1996	355.3	631	83.8	202	46.3	645	76.6	504	52.9
Gulmi	55911	33855.2	23044	4945.3	11982	2932.8	3056	511.5	2272	446.9	1162	233.2	5326	748.2	808	72.8
Arghakhanchi	42418	25168.2	25798	4145.9	9102	2166.1	3326	290.9	6277	785.8	136	38.6	10326	743.1	515	121.4
Palpa	49742	28952.8	28031	7327.6	18611	4836.6	3134	647.8	2835	997	338	100.5	4130	637.1	580	108.5
Nawalparasi West	55098	30123.8	45541	23136.2	6043	1483.1	11657	5117.6	595	185	30968	15288.7	4367	612.7	1152	449
Rupandehi	117333	65555	104931	55815.4	12899	4228.6	22739	9382.1	6205	2181.2	74984	35399	10058	2272.7	7069	2351.7
Kapilbastu	84675	61216.8	69845	40879.6	15228	5443	36292	19702.5	2520	748.2	28532	11627.1	6337	838.3	6863	2520.4
Dang	101880	49278	81165	33663.4	41399	16778.4	13837	4614.2	10563	4326.9	15021	5493.7	9285	1391.4	3878	1058.7
Banke	67885	36828.3	56981	25115.3	6620	1683.7	5881	2447.6	2026	669.8	41232	18202.7	6588	1225.1	1689	886.4
Bardiya	80744	45157.1	75367	39168.6	25344	15386.1	12670	5408.8	7743	3245.9	35962	11883.8	9216	1351.8	4796	1892.2
Dolpa	8373	2612.3	3231	696.1	1878	126.8	408	120.6	118	81.9	0		1008	353.3	22	13.6
Mugu	10929	5556	5397	930.2	2926	351.6	65	4.9	1471	384.1	0		1346	187.9	28	1.8
Humla	9707	4305.3	3757	522.1	973	117.6	236	21.8	582	48.2	0		2192	333.9	14	0.6
Jumla	21548	6897.1	14728	1542.8	10093	1061.6	1569	197.4	1758	166.6	0		2572	117	16	0.1
Kalikot	24432	8886.5	20609	3697.8	14249	2598.5	3840	442.5	1551	178	0		2385	474.8	84	4
Dailekha	49646	19757.9	29824	6090.2	12569	2450.5	4982	977.8	9807	1662.9	0		4113	599.4	2142	399.5
Jajarkot	33431	12572.6	14017	1831.3	5616	623.1	1787	252.4	5797	747.3	0		1803	159.2	305	49.3
Rukum West	32773	12239.8	12609	2052.4	7246	1013.7	846	101	4307	736	132	37	986	153.1	151	11.7
Salyan	49274	20444.3	26604	5480.9	16774	3078.7	2128	438.3	5395	1126.9	297	42.5	3571	745.1	316	49.4
Surkhet	62526	24139.2	41241	10982.8	27722	7409.6	4469	842	5220	1360.1	887	178.6	4752	1133.8	312	58.7
Bajura	25279	6792.5	17444	1961.3	15311	1727.1	211	15	421	31.2	0		1957	187.1	20	1
Bajhang	35330	9942.3	23178	3354.3	16189	2069	403	49	2346	331.6	0		4560	765.3	925	139.4
Darchula	24930	11804.4	8219	2105.3	6155	1572.5	1747	419.7	103	28.8	0		479	67.6	80	16.8
Baitadi	47262	19925.6	17709	2915	13575	2106.2	1786	368.7	850	168	0		936	142.7	1075	129.5
Dadeldhura	26984	10192.3	15586	3293	13231	2747	1952	280.5	567	127.9	167	51.6	604	84.3	81	1.9
Doti	39572	12790.8	27810	4890.9	17259	2772.5	3506	389.4	4662	894.1	0		5330	811.7	285	23.3
Achham	45214	16453.9	34822	5310.7	24594	3593.2	2478	273.8	3201	471.8	0		5819	787	1892	185
Kailali	127016	62734.2	117217	55042.3	18699	7093.4	11158	4388.9	3225	1474	88553	36957.7	11070	1857.6	10414	3270.7
Kanchanpur	86170	42249	83621	37691.4	7625	2415.8	4937	1647.5	5217	1993.2	65935	30064.9	7151	742.7	2432	827.3
