District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhthum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Siraha,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kavreplanchok,Ramechap,Sindhuli,Makawanpur,Chitwan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi East,Syangja,Parbat,Baglung,Rukum East,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi West,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekha,Jajarkot,Rukum West,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total number of household where agriculture is the main source of income,21946,25580,18433,29254,34924,29641,27498,17138,32250,52066,89111,93633,57098,47930,71220,70007,59278,52812,71225,56610,55298,37954,33192,49501,7634,54240,44377,22841,11155,15095,57275,31346,43625,54815,60031,46528,428,2165,16505,26194,22541,37930,33442,33729,18459,34002,9769,37085,30834,32613,16863,36179,36852,75449,65036,61828,46448,58534,6970,10281,8848,20104,21153,40031,30240,29244,39110,48153,22239,30204,19870,36827,17983,28188,40099,80417,61210
Total number of household where non_agriculture is the main source of income,2086,6792,4364,3154,3207,5144,4028,1560,4469,9808,59022,51685,40672,13616,33440,34936,45978,34250,34005,30225,28840,22263,7702,12364,1678,14540,12538,28016,14828,14896,12667,10517,11110,12709,29488,13500,523,201,5287,27034,9371,20666,21970,17863,7540,16800,2076,9758,19883,23298,25555,13563,18247,41884,19639,40052,21438,22211,1404,648,859,1444,3279,9615,3191,3529,10164,14373,3041,5126,5060,10435,9000,11384,5115,46600,24959
Total number of household where less than 25 percent of their income comes from agriculture,2449,2488,3227,5212,4187,1535,2724,724,4252,6533,36855,27809,21280,10452,15548,19044,22972,19767,21583,14699,9644,8407,3347,7241,1208,7607,4432,18702,4915,5652,5384,2333,3885,5150,15136,11364,314,137,2404,13942,3903,9390,9712,8180,3954,9038,802,4744,8738,11524,12837,6141,10476,18467,7442,18830,12506,13520,802,949,810,467,3407,5725,2685,1554,5645,7762,777,3997,3635,7014,4428,3128,2857,27267,11919
Total number of household where 25 to 49 percent of their income comes from agriculture,4203,6524,4568,7869,8584,5508,5132,2469,10993,11442,26846,28716,20813,12633,24865,24658,26565,23211,21811,18945,18954,13523,8126,12398,2509,16352,10752,10822,7971,5461,13550,11498,8518,11847,20844,16773,354,453,5742,14456,6480,14454,13433,14581,7676,17187,3116,8606,17968,20026,14805,12661,11815,30939,16881,23228,15374,18032,3277,1659,3183,4922,5669,14705,4892,7220,10786,14586,2991,9126,7571,12163,7214,12594,11677,30640,18557
Total number of household where 50 to7 4 percent of their income comes from agriculture,8744,12812,8353,12878,13860,14249,13533,7296,13834,21489,38952,40593,29323,21677,30531,33122,32850,23832,29303,29072,26969,19269,19113,21087,4247,23732,23556,11641,7262,9903,26183,17010,20689,25453,27647,22368,222,972,10274,13824,12055,19112,15533,17477,9117,16205,3794,21342,17021,16961,11134,18375,16799,39858,33876,34977,21442,28360,3171,4565,3881,10648,10287,18815,13758,16305,18980,22614,16390,16768,9805,17885,9229,15565,19936,40622,28117
Total number of household where 75 to 100 percent of their income comes from agriculture,8637,10548,6650,6448,11501,13493,10137,8208,7638,22409,45480,48200,26353,16784,33716,28119,22867,20252,32533,24119,28571,19018,10308,21139,1348,21090,18176,9691,5835,8974,24824,11022,21643,25074,25891,9522,61,805,3371,11006,9475,15640,16733,11354,5252,8372,4133,12150,6990,7400,3641,12565,16009,28069,26476,24845,18564,20832,1123,3756,1832,5511,5070,10401,12096,7693,13863,17564,5121,5439,3920,10200,6113,8285,10744,28487,27576
Total number of households for which agricultural product were sufficient for household consumption,8570,10938,7256,7865,12492,9446,11345,8368,8736,20920,79513,81083,53926,26065,63073,59850,55455,46266,56758,47220,53084,39087,13426,23980,2610,25051,30891,16462,9493,10800,35073,10263,26552,38222,51555,18471,127,1191,6437,20831,14172,23079,27373,13363,10776,8678,4399,10992,8370,10355,6200,26438,35677,79876,49681,51766,38085,52778,1097,3107,2606,7511,5051,10537,10272,8967,15957,27149,3603,6120,5428,11550,6540,9102,10355,76312,54721
Total number of households for which agricultural product were insufficient for household consumption,15462,21434,15541,24543,25639,25339,20181,10330,27982,40954,68620,64235,43844,35481,41587,45093,49801,40796,48473,39615,31053,21129,27468,37885,6702,43729,26024,34395,16490,19191,34868,31600,28183,29301,37964,41557,824,1175,15356,32397,17741,35517,28039,38229,15223,42124,7446,35850,42347,45557,36218,23304,19421,37457,34993,50114,29801,27966,7277,7821,7100,14037,19381,39109,23159,23806,33317,35378,21676,29210,19502,35712,20444,30470,34859,50704,31448
